peraturan,sumber
"Bank Syariah dan UUS wajib menyusun prosedur internal
mengenai pelaksanaan prinsip-prinsip sebagaimana
dimaksud pada ayat (1).",Undang-Undang Nomor 21 Tahun 2008
"Sanksi memublikasikan ketidakpatuhan Pemberi Kerja dikenakan setelah izin dari Otoritas Jasa Keuangan untuk lembaga jasa keuangan dan otoritas berwenang lainnya untuk bukan lembaga jasa keuangan, sesuai dengan ketentuan peraturan perundang-undangan.",Peraturan Pemerintah Nomor 25 Tahun 2020
"Biasa adalah klasifikasi informasi dari Arsip yang memiliki
informasi yang apabila diketahui oleh publik tidak
merugikan siapapun.",Peraturan Menteri Nomor 1 Tahun 2022
"Subbidang Budaya Lingkungan mempunyai tugas melakukan penyusunan bahan koordinasi, telaahan
staf, pengkajian dan evaluasi serta penyusunan rancangan rumusan kebijakan di bidang budaya
lingkungan.",Peraturan Menteri Nomor 9 Tahun 2001
"Bank didirikan dengan maksud untuk membantu Pemerintah dalam
membelanjai usaha-usaha pembangunan semesta.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 21 Tahun 1960
"Yuridis sebagaimana dimaksud pada ayat (1) huruf c
merupakan aspek yang terdapat jaminan kepastian hukum
dalam pencapaian tujuan Kerja Sama.",Peraturan Menteri Nomor 2 Tahun 2021
"Subbidang Pelestarian Ekosistem Pesisir mempunyai tugas melakukan penyiapan bahan koordinasi,
telaah staf, pengkajian dan evaluasi serta penyusunan rancangan rumusan kebijakan pelestarian
ekosistem pesisir yang terkait dengan zonasi kawasan, termasuk penentuan kawasan sensitif dan
prioritas tinggi.",Peraturan Menteri Nomor 9 Tahun 2001
"Pendapatan bea masuk sebagaimana dimaksud pada ayat
(8) huruf a direncanakan sebesar
Rp37.203.870.000.000,00 (tiga puluh tujuh triliun dua
ratus tiga miliar delapan ratus tujuh puluh juta rupiah)
yang didalamnya termasuk fasilitas bea masuk ditanggung
Pemerintah (BM DTP) sebesar Rp600.000.000.000,00
(enam ratus miliar rupiah).",Undang-Undang Nomor 27 Tahun 2014
"Bank Syariah dan/atau UUS harus mempunyai keyakinan
atas kemauan dan kemampuan calon Nasabah Penerima
Fasilitas untuk melunasi seluruh kewajiban pada waktunya,
sebelum Bank Syariah dan/atau UUS menyalurkan dana
kepada Nasabah Penerima Fasilitas.",Undang-Undang Nomor 21 Tahun 2008
Ketentuan lebih lanjut mengenai tata cara penunjukan Manajer Investasi dan Bank Kustodian diatur dengan Peraturan BP Tapera.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Deputi III adalah unsur pelaksana sebagian tugas dan fungsi Menteri Negara LH yang berada di bawah dan
bertanggung jawab langsung kepada Menteri Negara LH.",Peraturan Menteri Nomor 9 Tahun 2001
