ulasan,apresiasi,kritik
aplikasi bagus buat lapor ini itu cuma saya mau kritik soal jak wifi ribet tidak bisa akses alias ada paswordnya dan kata harus nanya ke tugas justru itu yang buat ribet sebab misal kita datang ke taman ya untuk duduk santai sambil nemenin anak main kan enak kalo langsung bisa make wifi buat baca berita jadi irit kuota,1,1
tidak bisa ke menu jaki vaksin ini kenapa sih sudah minggu lebih gabiza di akses menu vaksin tolong dong baik,0,1
hello jaki saya lapor aplikasi jakarta aman aplikasi error ya tolong di bantu ya jangan error saya pesonanewsensiclopedia karena sudah coba beda akun email tetap tidak bisa di guna 10 maret 2023 sudah lama loh itu kenapa error terus ya,0,1
enak nya pake aplikasi jaki klo kita mau lapor tinggal foto langsung di respon cepat dan yg paling enak lagi banyak fitur yg lain nya,1,0
gak pernah bagi daftar dadak kalo mau ke tebet ecopark misal baca nya sudah daftar 4025 orang eh nanti di coba2 lagi ubah lg angka daftar nya sudah daftar 4030 orang kluar di coba lagi baca nya beda lagi sudah daftar 4045 org maksud klo emng sy daftar gabisa kouta penuh tp kenapa kouta daftar nya malah tambah sedang sy daftar gabisa2 disuru coba hari lain maksud itu gimana si emang bnran nambah orang yg daftar nya apah gimana,0,1
sy beri 4 bintang biar makin semangat it jaki lha mau guna jaki daftar vaksinasi booster ke-2 muncul jawab maaf saat ini fitur tidak bisa guna terus bgm cara sy daftar vaksinasi gak ada opsi daftar on the spot di lokasi vaksinasi,1,1
aplikasi apa coba di guna tidk bisa sedang di baik kok ampe sethun klo ga niat bikin app gausah bikin nyusahin,0,1
system baik terus mau daftar vaksin tidak bisa,0,1
nik sdh verifikasi tapi utk login daftar vaksin tdk bisa malah kata nik tdk daftar tanya lwt ig kata mau bantu nyata diread doang sampai hari ini sdh di dm kali juga ga di read tapi update status terus heran niat bantu apa ga karyawan nya,0,1
daftar sunggu ribet lbih gampang daftar akun blanja shop payah gak smua hp kamera depan bagus juga cahaya yang bagus mau daftar apa mau photography tolong sertain bagi lewat album atau file karna saya punya file males photo cari cahaya dulu mau daftar apa mo jadi kang photo ribet banget,0,1
saya mau daftar vaksinasi lewat jaki tapi kenapa gak bisa bisa situ kita suruh masukin nik dan nama sesuai ktp tapi telah klik periksa muncul terus tulis maaf kuota daftar telah habis muncul tulis gitu terus tolong dong baik,0,1
untuk fiktur lapor skrng lumayan tapi ketika kita lapor bukan selesai masalah tapi justru malah tambah masalah baru untuk respon sih cepat tapi untuk tindak amat lama bnget mohon lah untuk baik lagi bagi yg ada di aplikasi ini,1,1
lebih simpel pake aplikasi ini knp harus di buka lagi tuh lapor tatap muka di balai kota praktis dan simpel lapor bisa cepat di tanggap,1,0
wkwk guna app ini untuk mudah mau vaksin ujung nya mah daftar offline juga alas kuota abis tapi pas ke puskesmas vaksin ada dan suruh ke gor tempat lain yang ngadain vaksin emang hidup di indo itu serba lempar sana lempar sini koordinasi nya ancur,0,1
jaki adalah aplikasi yang bagus dari pemprov dki sangat guna bagi kami yang sibuk namun ingin partisipasi dalam bangun kota jakarta dan adu cepat diupdate dan tangan salut,1,0
aplikasi susah di buka bukan 1 atau 2 x sering baru daftar akun jaki,0,1
untuk soal sepele memang status cepat tindak dan mungkin sudah tepat tapi untuk masalah yg kait rambu2 jalan yg tidak ada tidak informatif selesai hanya dengan screenshoot google map dan terang tambah rambu sudah sesuai ini jauh beda dari pokok masalah mungkin banyak lagi masalah yg gak sesuai tapi dar di selesai sehingga lapor yg buat aplikasi ini seperti tidak guna,0,1
tidak ada guna ada nya aplikasi jaki lapor emang di kerja tapi cuma lapor cuma pura2 kerja padahal tidak di apa2 in itu bukti aja saya berapa kali buat lapor masih ada parkirliar dan tidak tangkap para oknum2 padahal itu jalan ada parkir liar jadi sempit,0,1
beberapa bulan lalu nyoba error trs ok tinggalin aja males sekarang coba lg masih sama weslah uninstall ae,0,1
sangat manfaat dan free wifi nya cepat,1,0
kenapa ya udh kali buka jak survey ko ga muncul muncul buat isi survey nya ya padahal orang lain muncul untuk jak survey nya,0,1
sedikit kritik dan saran mungkin alangkah baik apabila ada warga khusus warga jakarta yang lapor pada aplikasi jaki harap beri terang proses lapor sudah sampai mana dan apabila lapor sudah selesai beri terang hasil selesai itu dalam bentuk seperti apa mungkin bisa jelas atau ada bentuk dokumentasi agar si lapor rasa yakin bahwa lapor sudah 100 proses dan ada hasil terimakasih bpk ibu,0,1
alhamdullah semua lapor lewat aplikasi jaki selalu cepat di respon,1,0
keren lapor besok langsung atas kalo perlu buatin etle tapi masyarakat bisa akses,1,0
ini aplikasi yg error atau gimana sih saya mau daftar vaksin untuk dosis pertama ko susah banget ya pas mau pilih lokasi faskes yg tera cuma sedikit padahal di daftar kuota yg sedia banyak pilih faskes nya sesuai wilayah yg pilih kuota nya pun masih ada sampe bolakbalik app jaki cuma buat mastiin tapi hasil sama aja bikin pusing padahal butuh bngt buat lamar kerja tolong dong baik lagi sistem aplikasi jangan sulit masyarakat,0,1
2 kali turut lapor yg saya buat s tutup oleh pihak jaki belum problem selesai kecewa banget tidak recommended,0,1
ini knapa pdhal email user sama password nya benar tapi ga bisa daftar kata ga sesuai,0,1
keren responsif saran nya database di besar biar aplikasi makin lancar tanpa kendala,1,0
mau daftar ulang vaksin dua tapi ada tulis maaf kuota untuk anda belum sedia,0,1
app yg bagong tidak fungsi dengan baik ketika lapor di tl abal-abal magabut,0,1
ini keren bgt loh klo bingung mau ngadu ngadu ke perintah lwt sini aja cepat tanggap kerennn aplikasi,1,0
mau login ke jaki susah bgt gk msuk2 mohon di baik cepat,0,1
mau cetak sppt aja susah bgt terang salah tak duga mulu,0,1
aplikasi y sangat bagus dan respon adu cepat di tangan,1,0
sangat bagus sekali apk jaki mudah bantu dan manfaat terimakash bpk gubernur dengan hasil karya yang baik,1,0
terima kasih kepada pemrov dki yang telah sedia aplikasi ini aplikasi sangat bantu dari info vaksin booking layan sehat sampai sampai masalah yang di hadap oleh warga dki jakarta sangat manfaat,1,0
turut saya bagus udah bisa bikin aplikasi bgni tapi knp antara aplikasi dan nyata ngga sinkron udah daftar vaksin nentuin jam tanggal dan lokasi tapi sampai lokasi tolak krna kuota sudah habis fungsi saya daftar di jaki apa sia jadi buang tenaga pikir dan waktu aja kalau memang belum bisa jalan tolong benah lagi dulu jangan langsung buat aplikasi yg harus mudah malah jadi kecewa banyak orang,1,1
aplikasi perintah yang paling niat ui nya bagus light moga fiturnya bisa tambah lagi jadi semua perlu warga cukup akses satu apps aja great works pemprov dki,1,0
aplikasi paling ribet mao bikin terang lapor aja harus arang rangkai kalimat yang panjang kalo kalimat yang belum penuh syarat kriteria harus 200 huruf maka tidak bisa apply lapor,0,1
keren waktu mau daftar loading trs gk sudah2,1,0
aplikasi bagus guna ketika daftar vaksin utk temen2 yg ada terang maaf tidak ada jadwal untuk rs tsb itu arti bukan sistem yg bug tp emang udah pada penuh saya juga nyari beberapa tmpatnya sampai 10 menit dan akhir dpt utk lokasi vaksin yg masih sedia semangat cari ya,1,0
sangat kecewa aplikasi sangat lambat padahal jaring sedang normal dan aplikasi pun baru di download belum sama sekali ada cache tidak user friendly tolong untuk baik karena adik saya butuh hasil tes dari aplikasi ini yang tugas oleh sekolah,0,1
ini benar adalah ide yg sangat luar biasa tapi tidak bareng dengan kesiap mengapa saya kata begitu karna nyata masih banyak fitur dalam aplikasi yang tidak kerja dengan optimal saya guna aplikasi ini karna ada tugas dari sekolah tapi apa saya coba guna fitur jakclm lalu saya isi jenis kelamin tetapi tidak bisa tolong ya untuk devloper segera di baik,1,1
aplikasi yang sangat bantu kita bisa sampai bagai masalah dan juga masuk lalu aplikasi jaki ini keren pokok moga bisa terus kembang dan makin baik terus beri yang baik yaa,1,0
aplikasi terlalu bagus sampe susah di guna nya daftar nik alpukat gagal mulu hadeh gaptek nih,0,1
yang gak bisa login nik nama gak sesuai pasti lagi dan cek lagi bagus ni apk ketika sudah login kita keluar otomatis bakal logout agar data2 pribadi tidak simpan kalau ada apa2,1,0
jelas ragu hampir semua yg isi data dengan benar tidak ada indikasi atau gejala covid tp hasil hampir semua sama ya itu 38 dan tidak d kenan beraktifitas d luar lalu apa guna aplikasi ini kalau kita sudah isi data dengan benar tp hasil sama aja suruh tes ke rumah sakit dokter itu acu dari mana coba,0,1
aplikasi apa sih ini daftar akun nggak bisa menu nya cuman muter doang tolong lahh di baik bug nya semua gantung pada aplikasi ini saya banyak kerja di luar kota yang harus milik akun jaki namun aplikasi seperti ini sangat kecewa,0,1
aduhhh susah banget buat daftat atau login buang kouta kalo kaya giniii padahal cuma mau ngunjungin taman aja login susah bangeettt- -,0,1
hampir semua komentar clm dapat skor 38 padahal kondisi sehat nyata pas saya coba sendiri hasil sama padahal kondisi saya bukan odp pdp dll tidak pernah pergi tidak pernah kontak dengan pasien tolong baik buat aplikasi yg manfaat,0,1
aplikasi yang guna dalam minta sumber informasi dan keluh kait fasilitas dan infrastruktur di jakarta namun paruh layan muncul notifikasi request rejected,1,1
percuma aplikasi bagus tapi masalah di lapang ga pernah realisasi,0,1
kerja jaki sangat bagus dan juga cepat saya lapor hari ini hari itu juga kerja mudah masalah yg ada di jakarta dengan cepat dan mudah,1,0
