peraturan1,peraturan2,sumber1,sumber2,similaritas
"Tarif layanan Badan Layanan Umum Pusat Investasi
Pemerintah pada Kementerian Keuangan merupakan
imbalan atas jasa layanan pembiayaan ultra mikro dari
Badan Layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan kepada penyalur
dan/ atau lembaga linkage.","Surplus Anggaran sebagaimana dimaksud pada Ayat
(7) dimanfaatkan antara lain untuk Transfer ke Dana
Cadangan, Pembayaran Pokok Utang, Penyertaan
Modal (investasi), dan atau Sisa Perhitungan
Anggaran Tahun berkenaan yang dianggarkan pada
Kelompok Pembiayaan, Jenis Pengeluaran Daerah.",permen-1-2021-5.pdf,permen-29-2002-5.pdf,netral
"Penyalur sebagaimana dimaksud pada ayat (1)
merupakan lembaga keuangan bukan bank yang
ditunjuk dan memperoleh pembiayaan dari Badan 
Layanan Umum Pusat Investasi Pemerintah pada
Kementerian Keuangan untuk menyalurkan
pembiayaan ultra mikro melalui pembiayaan
konvensional dan/ atau pembiayaan syariah.","Setiap laporan yang diterima oleh pimpinan satuan organisasi dan bawahannya, wajib diolah dan digunakan
sebagai bahan untuk menyusun laporan tindak lanjut dan untuk memberikan petunjuk kepada bawahannya.",permen-1-2021-5.pdf,permen-9-2001-5.pdf,netral
"Lembaga linkage sebagaimana dimaksud pada ayat (1)
merupakan lembaga keuangan bukan bank yang
menjadi mitra kerja Penyalur untuk menyalurkan
pembiayaan ultra mikro melalui pola penyaluran tidak
langsung dengan pembiayaan konvensional dan/ atau
pembiayaan syariah.","Ketua Badan Pengelola Pengembangan Pulau Natuna mempunyai kewenangan untuk
memberikan sanksi kepada perusahaan-perusahaan yang berlokasi di dalam KAPET
Pulau Natuna termasuk pencabutan izin-izin yang dikeluarkannya, kecuali untuk
pencabutan Surat Pemberitahuan Persetujuan Presiden untuk Penanaman Modal Asing
dan Surat Persetujuan Penanaman Modal Asing.",permen-1-2021-5.pdf,permen-33-1998-5.pdf,netral
"Tarif layanan Badan Layanan Umum Pusat Investasi
Pemerintah pada Kementerian Keuangan terdiri atas tarif layanan 
pembiayaan ultra mikro melalui
pembiayaan konvensional dan tarif layanan pembiayaan ultra mikro melalui
pembiayaan syariah.","Tahapan pembahasan Kerja Sama sebagaimana dimaksud
dalam Pasal 9 ayat (1) huruf b, merupakan rangkaian
proses kegiatan penelaahan dan pembahasan pokok-pokok
materi Kerja Sama dengan mitra Kerja Sama.",permen-1-2021-5.pdf,permen-2-2021-5.pdf,netral
"Tarif layanan pembiayaan ultra mikro
pembiayaan konvensional sebagaimana
dalam Pasal 2 huruf a meliputi pola penyaluran langsung 
dan atau pola penyaluran tidak langsung.","RIBUN sebagaimana dimaksud dalam Pasal 34,
merupakan rekening penampungan investasi yang
bersifat kumulatif dan berfungsi untuk:
a. menyalurkan dana Investasi Pemerintah kepada
OIP;
b. menerima dana Investasi Pemerintah beserta
imbal hasilnya dari OIP; dan
c. mengkonsolidasikan pencatatan dana Investasi
Pemerintah yang dilakukan oleh BUN melalui
OIP.
",permen-1-2021-5.pdf,permen-53-2020-5.pdf,netral
"Pola penyaluran langsung sebagaimana dimaksud pada
ayat ( 1) huruf a merupakan penyaluran pembiayaan
yang dilakukan oleh penyalur secara langsung kepada
debitur.","Subbidang Dampak dan Tanggap Wilayah mempunyai tugas melakukan penyiapan bahan koordinasi,
telaah staf, pengkajian dan evaluasi penyusunan rancangan rumusan kebijaksanaan antisipasi dampak
dan tanggap perubahan iklim di daerah.",permen-1-2021-5.pdf,permen-9-2001-5.pdf,netral
"Pola penyaluran tidak langsung sebagaimana dimaksud
pada ayat ( 1) huruf b merupakan penyaluran
pembiayaan yang dilakukan oleh penyalur kepada
debitur melalui lembaga linkage.","Permohonan untuk memperoleh RPTK sebagaimana yang dimaksud dalam ayat (1)
bagi perusahaan yang surat persetujuan penanaman modalnya dikeluarkan oleh
Gubernur Kepala Daerah Propinsi dalam hal ini Ketua BKPMD, diajukan kepada
Ketua BKPMD.",permen-1-2021-5.pdf,permen-38-1999-5.pdf,netral
"Penyalur sebagaimana dimaksud pada ayat (2) dan
ayat (3) terdiri atas penyalur yang dimiliki oleh Pemerintah
Pusat / Pemerintah Daerah atau terafiliasi dengan
lembaga milik Pemerintah Pusat / Pemerintah
Daerah dan. penyalur selain yang dimiliki oleh Pemerintah
Pusat / Pemerintah Daerah atau terafiliasi dengan
lembaga milik Pemerintah Pusat / Pemerintah
Daerah.","Format Susunan Pendapatan Kabupaten/Kota beserta
kode rekeningnya tercantum dalam Lampiran III
Keputusan ini.",permen-1-2021-5.pdf,permen-29-2002-5.pdf,netral
"Tarif layanan pembiayaan ultra mikro melalui
pembiayaan konvensional sebagaimana dimaksud
dalam Pasal 2 huruf a merupakan tarif pembiayaan
kepada penyalur dan/ atau lembaga linkage dalam
bentuk tingkat suku bunga efektif per tahun.","Pada unit kerja yang bertugas mengumpulkan uang
hasil Pajak Daerah dan Retribusi Daerah dibentuk
yang Satuan Pemegang Kas Pembantu yang
bertanggungjawab kepada Pemegang Kas pada satuan
kerja induknya.",permen-1-2021-5.pdf,permen-29-2002-5.pdf,netral
"Untuk pola penyaluran langsung sebagaimana
dimaksud dalam Pasal 3 ayat (1) huruf a, tarif
pembiayaan dengan tingkat suku bunga efektif per
tahun sebagaimana dimaksud pada ayat ( 1) dikenakan
kepada penyalur paling tinggi sebesar 4% (empat
persen) dari realisasi penyaluran pembiayaan oleh
Badan Layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan.","Khusus pertambangan batubara untuk luas wilayah dari 1.000 Ha atau lebih,
permohonan penanaman modal baru dalam rangka PMDN dilakukan dengan Perjanjian
Karya Pengusahaan Pertambangan Batubara (BKP2B).",permen-1-2021-5.pdf,permen-38-1999-5.pdf,netral
